,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
55,2023-02-23,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,4010224,0.0,0.0
56,2023-02-24,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,3736771,0.0,0.0
57,2023-02-25,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,3151453,0.0,0.0
58,2023-02-26,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,3346362,0.0,0.0
59,2023-02-27,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,3527465,0.0,0.0
60,2023-02-28,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,3905029,0.0,0.0
61,2023-03-01,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,3664555,0.0,0.0
62,2023-03-02,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,3439273,0.0,0.0
63,2023-03-03,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,6877831,0.0,0.0
64,2023-03-04,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,4580426,0.0,0.0
65,2023-03-05,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,4141326,0.0,0.0
66,2023-03-06,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2691523,0.0,0.0
67,2023-03-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,3487930,0.0,0.0
68,2023-03-08,,,,0.0,3778965,0.0,0.0
69,2023-03-09,,,,0.0,3470442,0.0,0.0
70,2023-03-10,,,,0.0,3817910,0.0,0.0
71,2023-03-11,,,,0.0,3604095,0.0,0.0
72,2023-03-12,,,,0.0,2908572,0.0,0.0
73,2023-03-13,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,3160303,0.0,0.0
74,2023-03-14,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,3428230,0.0,0.0
75,2023-03-15,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,4202370,0.0,0.0
76,2023-03-16,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2669317,0.0,0.0
77,2023-03-17,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2911245,0.0,0.0
78,2023-03-18,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2830713,0.0,0.0
79,2023-03-19,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,3243611,0.0,0.0
80,2023-03-20,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,3379652,0.0,0.0
81,2023-03-21,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2494626,0.0,0.0
82,2023-03-22,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2755857,0.0,0.0
83,2023-03-23,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2653900,0.0,0.0
84,2023-03-24,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2197868,0.0,0.0
85,2023-03-25,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1957026,0.0,0.0
86,2023-03-26,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1970921,0.0,0.0
87,2023-03-27,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1893230,0.0,0.0
88,2023-03-28,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,2030077,0.0,0.0
89,2023-03-29,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,2936629,0.0,0.0
90,2023-03-30,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2570986,0.0,0.0
91,2023-03-31,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2857556,0.0,0.0
92,2023-04-01,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2638159,0.0,0.0
