,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
27,2021-08-06,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,4.999999873689376e-06,746151,0.0,0.0
28,2021-08-07,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,777999,0.0,0.0
29,2021-08-08,,,,0.0,1690729,0.0,0.0
30,2021-08-09,0.0,6.000000212225132e-06,0.0,6.000000212225132e-06,577508,0.0,0.0
31,2021-08-10,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,7.000000096013537e-06,576757,0.0,0.0
32,2021-08-11,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,651147,0.0,0.0
33,2021-08-12,6.000000212225132e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,982846,0.0,0.0
34,2021-08-13,4.999999873689376e-06,6.000000212225132e-06,4.999999873689376e-06,6.000000212225132e-06,1011276,0.0,0.0
35,2021-08-14,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,906538,0.0,0.0
36,2021-08-15,6.000000212225132e-06,6.000000212225132e-06,4.999999873689376e-06,6.000000212225132e-06,1087556,0.0,0.0
37,2021-08-16,6.000000212225132e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,1050504,0.0,0.0
38,2021-08-17,4.999999873689376e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,776136,0.0,0.0
39,2021-08-18,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,577554,0.0,0.0
40,2021-08-19,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,593876,0.0,0.0
41,2021-08-20,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,610836,0.0,0.0
42,2021-08-21,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,4.999999873689376e-06,727093,0.0,0.0
43,2021-08-22,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,768056,0.0,0.0
44,2021-08-23,4.999999873689376e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,729697,0.0,0.0
45,2021-08-24,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,3.999999989900971e-06,657620,0.0,0.0
46,2021-08-25,3.999999989900971e-06,4.999999873689376e-06,3.999999989900971e-06,4.999999873689376e-06,773524,0.0,0.0
