id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_7d_in_currency
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,4.06,9989725298,13,20813943304,421025070,4.06,3.79,0.265107,6.99035,560746337.0,5.94705,2460269951.160393,5126058800.555758,,8.25,-50.82535,2024-06-15T00:36:51.509Z,0.519364,681.47187,2021-09-21T00:33:11.092Z,,2025-03-31T15:43:39.250Z,1.4279112091945778,6.990352794379781,9.13434346518235
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,13.6,8677799095,14,13599435015,422208293,13.68,13.01,-0.008390234740769387,-0.06166,-6074684.775173187,-0.06995,638099971.4505637,1000000000.0,1000000000.0,52.7,-74.16175,2021-05-10T00:13:57.214Z,0.148183,9088.54441,2017-11-29T00:00:00.000Z,,2025-03-31T15:43:46.025Z,0.692727900505937,-0.06165902094171343,-9.928522714937792
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,9.11,8415113094,15,8974502486,4374533,9.66,9.06,-0.5490622502849636,-5.686,-508935058.54933643,-5.70296,923828575.9,985239504.0,,10.14,-10.1154,2025-03-10T09:26:43.294Z,0.799859,1038.9383,2019-12-24T15:14:35.376Z,,2025-03-31T15:43:41.841Z,0.3600984222527485,-5.685998450044754,-6.871336557907721
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.268116,8263161831,16,13420297397,150804556,0.269681,0.259563,0.00017879,0.06673,6097142.0,0.07384,30787161020.76003,50001786892.81792,50001786892.81792,0.875563,-69.34099,2018-01-03T00:00:00.000Z,0.00047612,56280.12817,2015-03-05T00:00:00.000Z,,2025-03-31T15:43:37.028Z,0.04590633980000369,0.06672816188927594,-7.716221447505165
usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,1.0,8039677568,17,8039677568,28012953,1.004,0.998358,0.00067642,0.06766,400454746.0,5.24209,8038993996.822329,8038993996.822329,,1.057,-5.44604,2024-10-29T05:40:51.197Z,0.948265,5.42832,2024-10-03T13:19:28.826Z,,2025-03-31T15:43:39.481Z,-0.007563705304991423,0.06766399563095607,0.0018974102430983097
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,2207.91,7965113854,18,7965113854,27954564,2216.57,2129.81,33.74,1.5518,144973301.0,1.85385,3603821.47805757,3603821.47805757,,7256.02,-69.57233,2022-05-13T15:09:54.509Z,558.54,295.28724,2022-05-13T01:36:45.053Z,,2025-03-31T15:43:41.421Z,0.47169189979793297,1.551796109723902,-11.525891686732667
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,19.03,7903920059,19,8602552174,285900950,19.38,18.23,-0.3511453717631099,-1.81147,-132523042.35117531,-1.64903,414860558.0735628,451530325.3455934,720000000.0,144.96,-86.85702,2021-11-21T14:18:56.538Z,2.8,580.17778,2020-12-31T13:15:21.540Z,,2025-03-31T15:43:43.066Z,0.9232723962934122,-1.8114743326101066,-12.15498600405739
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,1.245e-05,7338339538,20,7341501966,223998938,1.263e-05,1.201e-05,-1.18138655991e-07,-0.93971,-70631534.30443668,-0.95332,589250806010415.6,589504741223758.0,,8.616e-05,-85.54211,2021-10-28T03:54:55.568Z,5.6366e-11,22099491.8102,2020-11-28T11:26:25.838Z,,2025-03-31T15:43:36.535Z,0.8639285647345128,-0.9397103329278129,-6.942569131660216
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,2.3,7303612933,21,23040914693,1060220720,2.38,2.2,-0.060578418964895686,-2.56616,-181341529.04007435,-2.42275,3169845047.483887,10000000000.0,10000000000.0,5.35,-56.9718,2025-01-04T22:56:18.063Z,0.364846,530.54817,2023-10-19T10:40:30.078Z,,2025-03-31T15:43:38.272Z,1.3475730357697544,-2.5661586260444604,-4.38484563906313
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.165613,7002898965,22,8293338069,240245146,0.172104,0.156834,-0.004345740340385013,-2.55694,-171379058.9369011,-2.3888,42220025920.54645,50000000000.0,50000000000.0,0.569229,-70.86645,2021-09-15T10:40:28.318Z,0.00986111,1581.72355,2020-01-02T17:30:24.852Z,,2025-03-31T15:43:45.406Z,1.1399480171660963,-2.556937994115582,-13.764396739222365
